"filename", "language", "XML", "JavaScript", "PHP", "HTML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mostafa\Dotworks App\resources\lang\en\auth.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"d:\Mostafa\Dotworks App\resources\lang\en\pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"d:\Mostafa\Dotworks App\resources\lang\en\passwords.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"d:\Mostafa\Dotworks App\resources\lang\en\validation.php", "PHP", 0, 0, 113, 0, 0, 0, 0, 0, 0, 30, 9, 152
"d:\Mostafa\Dotworks App\resources\sass\_override-boostrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Mostafa\Dotworks App\resources\sass\_style.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 4, 21
"d:\Mostafa\Dotworks App\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 5, 54
"d:\Mostafa\Dotworks App\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 9, 14, 35
"d:\Mostafa\Dotworks App\resources\sass\components\_all.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"d:\Mostafa\Dotworks App\resources\sass\components\_order-steps.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"d:\Mostafa\Dotworks App\resources\sass\components\_package-card.scss", "SCSS", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 8, 138
"d:\Mostafa\Dotworks App\resources\sass\materials\_all.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\Mostafa\Dotworks App\resources\sass\materials\_msg-icon.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"d:\Mostafa\Dotworks App\resources\sass\materials\_state-badge.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"d:\Mostafa\Dotworks App\resources\sass\pages\_order-information.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\Mostafa\Dotworks App\resources\sass\user_panel\_panel-variables.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\Mostafa\Dotworks App\resources\sass\user_panel\_userpanel.scss", "SCSS", 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 39, 288
"d:\Mostafa\Dotworks App\resources\sass\user_panel\components\_sidebar.scss", "SCSS", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 8, 95
"d:\Mostafa\Dotworks App\resources\sass\user_panel\components\panel-wrapper\_panel-body.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 12, 28
"d:\Mostafa\Dotworks App\resources\sass\user_panel\components\panel-wrapper\_panel-content.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
