Date : 2022-04-12 23:18:06
Directory : d:\Mostafa\Dotworks App
Total : 355 files,  259810 codes, 68701 comments, 51591 blanks, all 380102 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Mostafa\Dotworks App\README.md                                                                           | Markdown   |         60 |          0 |         20 |         80 |
| d:\Mostafa\Dotworks App\app\Console\Kernel.php                                                              | PHP        |         17 |         18 |          7 |         42 |
| d:\Mostafa\Dotworks App\app\Exceptions\Handler.php                                                          | PHP        |         21 |         28 |          7 |         56 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\AdminController.php                                      | PHP        |         45 |         15 |         14 |         74 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\AdminPermissionController.php                     | PHP        |         43 |          0 |          8 |         51 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\AdminRoleController.php                           | PHP        |         46 |          0 |          8 |         54 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Admins\ManagementController.php                          | PHP        |         61 |          0 |          8 |         69 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Authorization\AdminRolePermissionController.php          | PHP        |         28 |         48 |         10 |         86 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Services\CategoryController.php                          | PHP        |         63 |          0 |          8 |         71 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Services\ManagementController.php                        | PHP        |         51 |          0 |          8 |         59 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\ManagementController.php                           | PHP        |         62 |          0 |          8 |         70 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\UserPermissionController.php                       | PHP        |         43 |          0 |          8 |         51 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Admin\Users\UserRoleController.php                             | PHP        |         51 |          0 |          8 |         59 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ConfirmPasswordController.php                             | PHP        |         14 |         20 |          7 |         41 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ForgotPasswordController.php                              | PHP        |          8 |         10 |          5 |         23 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\LoginController.php                                       | PHP        |         25 |         20 |          9 |         54 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\RegisterController.php                                    | PHP        |         51 |         32 |         11 |         94 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\ResetPasswordController.php                               | PHP        |         10 |         15 |          6 |         31 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Auth\VerificationController.php                                | PHP        |         16 |         20 |          7 |         43 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Controller.php                                                 | PHP        |         10 |          0 |          4 |         14 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\IndexController.php                                   | PHP        |         15 |          5 |          6 |         26 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\ServiceViewController.php                             | PHP        |         86 |         27 |         33 |        146 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\SupportController.php                                 | PHP        |         10 |          0 |          6 |         16 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\DashboardController.php                          | PHP        |         19 |         10 |          5 |         34 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\InvoiceController.php                            | PHP        |         28 |         48 |         11 |         87 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\MessageController.php                            | PHP        |         30 |         10 |         12 |         52 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Order\OrderController.php                        | PHP        |        171 |         36 |         39 |        246 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Order\OrderFileController.php                    | PHP        |         45 |         47 |         14 |        106 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Order\OrderStateController.php                   | PHP        |         28 |         48 |         10 |         86 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\PaypalPaymentController.php                      | PHP        |         64 |          0 |         24 |         88 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Profile\UserLanguagesController.php              | PHP        |         81 |          6 |         33 |        120 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Profile\UserProfileController.php                | PHP        |         87 |         22 |         30 |        139 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Profile\UserSkillsController.php                 | PHP        |         62 |          6 |         17 |         85 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\Profile\UserSlidesController.php                 | PHP        |         65 |          2 |         10 |         77 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\ServiceController.php                            | PHP        |        215 |         62 |         75 |        352 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\Frontend\User\WalletController.php                             | PHP        |         55 |          0 |         12 |         67 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\MessageController.php                                          | PHP        |         28 |         48 |         10 |         86 |
| d:\Mostafa\Dotworks App\app\Http\Controllers\ServiceStateController.php                                     | PHP        |         28 |         48 |         10 |         86 |
| d:\Mostafa\Dotworks App\app\Http\Kernel.php                                                                 | PHP        |         43 |         20 |          7 |         70 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\Admin.php                                                       | PHP        |          1 |         26 |          1 |         28 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\Authenticate.php                                                | PHP        |         12 |          6 |          5 |         23 |
